,Modification,Size,BPCY,WYIELD
37,"{'b4388': 0, 'b2508': 32, 'b3640': 32, 'b0722': 0, 'b1131': 8, 'b1849': 16, 'b3941': 2, 'b1380': 8}",8,1.0088284673166064,9.150800479335402
38,"{'b4388': 0, 'b2508': 32, 'b0722': 0, 'b1849': 32, 'b3640': 16, 'b0474': 2, 'b1278': 8, 'b1380': 8}",8,1.7857430776743963,8.34097519129566
39,"{'b3640': 16, 'b4388': 0, 'b1849': 16, 'b1131': 4, 'b0722': 0, 'b1278': 8, 'b1380': 8}",7,1.8294413226037927,8.304722473433522
40,"{'b1278': 16, 'b4388': 0, 'b2508': 32, 'b0221': 0.03125, 'b3640': 16, 'b1849': 16, 'b0722': 0, 'b1380': 8}",8,1.8868253932960162,8.236072560472468
41,"{'b0722': 0, 'b3640': 32, 'b1849': 32, 'b3941': 2, 'b1380': 16, 'b4388': 0}",6,0.529420320774168,9.5585228545341
42,"{'b0722': 0, 'b1849': 32, 'b0221': 0.03125, 'b3640': 16, 'b3941': 2, 'b1380': 16, 'b0474': 2, 'b4388': 0}",8,0.5895206219368633,9.48859824661061
43,"{'b4388': 0.5, 'b1849': 16, 'b2508': 32, 'b0722': 0, 'b0221': 0.03125}",5,2.1617479455573325,7.655281499957367
44,"{'b1849': 4, 'b4388': 0.5, 'b2508': 4, 'b0722': 0.03125}",4,2.4475148183391,7.214562022101306
45,"{'b1849': 32, 'b3640': 16, 'b1278': 8, 'b4388': 0.0625, 'b0722': 0, 'b0474': 2, 'b1380': 8}",7,1.9956412525769167,8.107144811611315
46,"{'b4388': 0.5, 'b1849': 4, 'b0722': 0, 'b0417': 16, 'b0474': 4, 'b1278': 8}",6,2.2657311833029583,7.543537928857623
47,"{'b3941': 2, 'b4388': 0, 'b2508': 32, 'b0722': 0, 'b1849': 32, 'b3640': 16, 'b1131': 4, 'b0474': 2, 'b1278': 8, 'b1380': 8}",10,1.2926736808539168,8.818526780678964
48,"{'b1131': 2, 'b1849': 16, 'b4388': 0.5, 'b0722': 0, 'b0221': 0.03125}",5,2.258934605042498,7.552124825778179
49,"{'b1278': 16, 'b4388': 0, 'b0722': 0, 'b3640': 16, 'b1849': 16, 'b1131': 4, 'b3941': 2, 'b0474': 2, 'b1380': 8}",9,1.64540977135363,8.501756731116345
50,"{'b4388': 0, 'b2508': 32, 'b3640': 32, 'b1849': 32, 'b1131': 8, 'b0722': 0, 'b3957': 8, 'b1380': 8}",8,0.8958008595501924,9.233503930527107
51,"{'b0722': 0, 'b2508': 4, 'b1849': 16, 'b3941': 2, 'b1380': 16, 'b4388': 0}",6,0.7888819342619613,9.312064081657109
52,"{'b1849': 32, 'b0722': 0, 'b3640': 32, 'b1380': 16, 'b2508': 4, 'b0221': 0.03125, 'b4388': 0}",7,0.7119076755028678,9.39890833694922
53,"{'b0722': 0, 'b3640': 32, 'b0221': 0.03125, 'b1849': 16, 'b3941': 2, 'b1380': 16, 'b4388': 0}",7,0.6776769642308809,9.431615645297967
