ID,vPTS,vPGI,vPGM,vG6PDH,vPFK,vTA,vTKA,vTKB,vMURSyNTH,vALDO,vGAPDH,vTIS,vTRPSYNTH,vG3PDH,vPGK,vsersynth,vrpGluMu,vENO,vPK,vpepCxylase,vSynth1,vSynth2,vDAHPS,vPDH,vMethSynth,vPGDH,vR5PI,vRu5P,vPPK,vG1PAT,vG6P,vf6P,vfdP,vGAP,vDHAP,vPGP,vPG3,vpg2,vPEP,vRibu5p,vRIB5P,vXYL5P,vSED7P,vpyr,vPG,vE4P,vGLP,vEXTER
64,0.194846325435376,0.18137979526119,0.013412212627408,1.19E-05,0.181166733873374,-3.66E-05,-3.60E-05,-3.66E-05,6.64E-05,0.181166712201757,0.283384891531791,0.066396846626161,0.035857513780215,0.114769326535479,0.283384890609276,3.53E-05,0.283349407195582,0.283349377781826,0.08841504473438,2.71E-07,8.75E-05,0.038087357670119,0,0.299793657844776,0.018777775584936,1.19E-05,8.43E-05,-7.23E-05,0.000119788235062,0.013404223162997,4.24E-05,7.08E-06,2.17E-08,1.58E-07,5.39E-07,0,1.64E-07,2.94E-08,1.98E-07,1.23E-07,4.73E-07,1.72E-07,6.17E-07,1.56E-05,0,1.45E-08,7.99E-06,0.194846325435376
66,0.19822002293959,0.192415996914264,0.005586729147477,0.000193219475213,0.188550438431543,-0.000415820198908,-0.00041581931896,-0.002695998975601,0.000374792976743,0.188512945094107,1.28197233141702,0.188463596625759,0.907706136482501,3.90E-05,1.28197227568889,0.000682345296429,1.2812791867021,1.28127743663758,0.318435312156065,0.761316080553772,0.001016559968842,0.001200522769396,0.002278069411454,1.44162685526729,0.018703832032703,0.00019320251857,0.003302193015086,-0.003108993167496,0.003718009917302,0.005584631409906,2.41E-05,4.15E-06,3.75E-05,1.43E-05,1.03E-05,5.57E-08,1.07E-05,1.75E-06,1.14E-05,2.73E-09,2.35E-09,2.83E-06,0,0.000237925574172,1.70E-08,2.11E-06,2.10E-06,0.19822002293959
71,0.126861729128998,0.125973386624867,0.000780406282888,6.07E-07,0.122759703205386,-5.71E-05,2.32E-05,-5.71E-05,0.001540511531304,0.122743657810388,0.245693408674125,0.122739137826862,0.000187460531445,4.40E-06,0.245693408531556,0.000299293898996,0.24539409228155,0.245394090478636,6.87E-08,0.11853224980281,3.10E-08,0.01044853818581,0,0.116569446927883,6.94E-06,6.07E-07,3.38E-05,-3.35E-05,9.52E-06,0.000759731026353,0.000107329528321,1.85E-05,1.60E-05,6.67E-09,1.18E-07,0,2.24E-08,1.80E-09,1.19E-08,2.80E-07,1.12E-06,3.98E-07,8.03E-05,3.82E-05,0,3.06E-08,2.07E-05,0.126861729128998
74,0.000588258324829,0.000147670743231,0.000354346424712,8.31E-05,1.63E-07,-7.08E-05,-7.08E-05,-7.29E-05,1.61E-06,-4.82E-09,0.01525612799341,-1.43E-06,0.015331451662803,7.34E-07,0.015256125992619,0.00041285451932,0.014842864284293,0.014842787785129,0.000220687076096,0.00356729216239,0.010465618383518,0.011191851075247,4.17E-07,0.005387814095877,0.000507834272952,8.26E-05,0.000226309029626,-0.000142927477103,0.000296962644436,0.000353996748524,3.18E-06,5.48E-07,1.68E-07,9.67E-07,6.96E-07,2.00E-09,4.07E-07,7.65E-08,5.15E-07,2.18E-08,8.71E-08,3.05E-08,3.09E-08,6.86E-05,4.39E-07,1.74E-06,3.50E-07,0.000588258324829
77,0.200494211895776,0.198215117852848,5.87E-05,0.002173715491262,0.115772494708664,5.00E-06,0.000195445798965,4.90E-06,0.041222643908782,0.115725724554351,0.210822515839761,0.094901114325627,3.47E-07,0.020824591147759,0.210822512977041,4.17E-06,0.210817579052194,0.210817435316043,0.000101622606243,0.010181580406562,3.93E-05,0.200599864282892,0,0,3.72E-06,0.002160342100213,0.00191367568423,0.00026942233588,0.001640622157285,5.23E-05,4.67E-05,7.23E-06,4.68E-05,2.13E-08,1.91E-08,2.86E-09,7.65E-07,1.44E-07,7.43E-07,1.94E-05,7.74E-05,2.71E-05,0.000190449930155,4.16E-08,1.34E-05,9.42E-08,6.38E-06,0.200494211895776
85,4.27E-05,-2.48E-05,2.25E-09,6.74E-05,5.57E-08,1.43E-05,1.63E-05,1.43E-05,1.87E-06,5.57E-08,0.005301929877125,-0.000188478504678,0.005474117584159,0.000188524332949,0.005301898110135,0.004794956063993,0.000506709577997,0.000506670980661,0.000209433177009,0.000248761554977,5.56E-06,0.000384687352958,0,0.124132613396844,1.44160795422066,6.74E-05,3.67E-05,3.06E-05,2.01E-05,2.12E-09,0,0,0,1.70E-08,9.84E-09,3.18E-08,2.32E-07,3.86E-08,2.60E-07,7.72E-08,3.08E-07,1.08E-07,1.97E-06,1.32281686113826,4.19E-08,0,0,4.27E-05
87,0.186969550273925,0.163939700575951,0.000524792506756,0.022437712035428,0.17806271219084,0.007076325750106,0.007668617087729,0.00707630226364,9.04E-06,0.178053658175876,0.402643281951276,0.178053084079384,0.038867991763127,3.50E-07,0.402643063855109,0.211353259947,0.191231883331946,0.191220995169605,0.000674252436015,0.003311664242964,0.000199989113951,0.124603118099984,2.25E-09,1.35884778530008,1.25700017865951,0.022436843268527,0.007684134236762,0.014749458813081,1.06E-05,0.000511605882603,6.73E-05,1.15E-05,9.05E-06,4.57E-08,2.24E-07,2.18E-07,5.79E-05,1.09E-05,6.55E-05,3.25E-06,4.97E-06,4.54E-06,0.000592291337657,6.11E-05,8.69E-07,2.12E-08,1.32E-05,0.186969550273925
89,0.019364019859072,0.014291697586441,0.001026970102603,0.004041276091281,0.016235606329949,0.001699979165538,0.001700046229216,0.000253551581629,4.57E-06,0.016176664554579,0.028830579929858,0.000519807448635,0.011898598133246,0.015643829128826,0.028830577243434,0.000289129308241,0.028540883250191,0.0285407770763,2.10E-06,0.007500734123391,0.000229498223674,0.000260097356346,0.001443927899658,0.031004717036683,0.00012891641845,0.004040946296806,0.002085988554484,0.001954389036236,0.00038347999102,0.001026906874031,4.08E-06,4.78E-07,5.89E-05,1.81E-05,1.30E-05,2.69E-09,5.65E-07,1.06E-07,4.92E-07,6.07E-07,2.42E-06,7.91E-07,6.71E-08,0.000128824859569,3.30E-07,2.50E-06,6.32E-08,0.019364019859072
90,0.002846366184232,0.002438967004811,0.000368714712533,3.72E-05,0.00244228313723,2.14E-06,6.44E-06,2.14E-06,3.54E-07,0.002442229728625,0.037023172163369,0.002436081236587,0.032138417807396,6.15E-06,0.037023171627201,1.24E-06,0.037021789622151,0.037021762592764,0.000930287825806,0.033241211154793,3.72E-06,0.018364933119971,0,0.078098068246835,0.252506919850629,3.72E-05,2.86E-05,8.59E-06,2.21E-05,0.000368459110383,1.44E-06,2.49E-07,5.34E-08,0,0,0,1.44E-07,2.70E-08,1.81E-07,6.75E-08,6.04E-08,9.45E-09,4.31E-06,0.191958990301258,0,1.07E-09,2.56E-07,0.002846366184232
91,0.111923642210578,0.065903164789108,0.044161279561694,0.001811271864359,0.06635098453907,0.00025233177824,0.000252344704244,0.000252311853069,2.43E-05,0.06631616302781,0.115759101119895,0.008512977569246,0.040691503178451,0.057793208713522,0.115758657703404,0.003668154815007,0.11197101444231,0.111948559871034,2.45E-05,2.41E-07,1.99E-07,0.000699730734706,0,0.151950553790384,3.82E-05,0.001798838051487,0.000265718954217,0.00110151989899,1.34E-05,0.044151951654602,4.79E-05,8.24E-06,3.48E-05,1.39E-05,9.98E-06,4.43E-07,0.000119488446043,2.25E-05,2.48E-09,0.000431600552791,0,0.000596861997557,1.29E-08,2.75E-05,1.24E-05,1.92E-08,9.33E-06,0.111923642210578
